CL_lev,CL_bal,CKA_dna_rna,CKA_rna_case,CKA_dna_case,domain,k,Coh
0.7149889986656441,0.834083877554196,0.7394248223627725,0.6421062389038824,0.7698341332130119,RLV,0,1
0.7536195972272723,0.8693143297449974,0.7667823837932353,0.6965954460994952,0.8013159593306518,Healthcare,0,1
0.7428277171254817,0.8668393308057675,0.7711233313958171,0.6787964035511905,0.7830706100059139,RLV,1,1
0.7153715564994302,0.8265954881402869,0.7293710690188024,0.6441244007757108,0.7792498386664218,Healthcare,1,1
0.6789961763136038,0.8145873875801507,0.6731154881335494,0.615495726468425,0.7555920160964483,RLV,2,0
0.7411868435017899,0.8425355103251522,0.7552215968672439,0.6739822501994374,0.799945215293458,Healthcare,2,1
0.6732438871532456,0.7625954862936487,0.646418753098285,0.5999965730771558,0.7867822244703376,RLV,3,0
0.7248484549119784,0.8405154808561183,0.7535657079385557,0.6517531234186722,0.7754207248566325,Healthcare,3,1
0.6906445095987199,0.798873707693934,0.7092766283270611,0.6091343416650277,0.762491412345242,RLV,4,0
0.7068516236171873,0.7970516156762225,0.7039829884304866,0.6323456433342998,0.793355951982877,Healthcare,4,0
0.7110359403433217,0.8511858963672867,0.7183189701309599,0.6526658232941749,0.7667723655662518,RLV,5,1
0.7523858838390473,0.8666963685332802,0.7815862749215745,0.6872361314157788,0.7929375919490652,Healthcare,5,1
0.7081041198091081,0.7986048326958437,0.7098895343369208,0.6319988120245369,0.7913786470476315,RLV,6,0
0.7086368609821116,0.7955868510288461,0.702715536111842,0.6347308829007143,0.7978146975152817,Healthcare,6,0
0.6983055018452217,0.7982993285049386,0.7057097065872436,0.6206375276447231,0.777449642613452,RLV,7,0
0.6958343889471121,0.7923232541517016,0.7136213484902718,0.6116121674521418,0.7719225256198777,Healthcare,7,0
0.7183396496196759,0.8392800774300581,0.7335775384775975,0.6512162097024384,0.7759223973199911,RLV,8,1
0.6935265043461886,0.7715940763276855,0.7210428158083169,0.597459553491609,0.7743184814678075,Healthcare,8,0
0.7248086042735186,0.8553302165987997,0.7581782816775401,0.6554148058848176,0.7662710765569104,RLV,9,1
0.6911868790489225,0.8124308994758062,0.7139365611749615,0.6129945773625626,0.7545190338748524,Healthcare,9,0
0.731949777602275,0.8570256233343007,0.7486915141188342,0.6699885375964382,0.781760217378116,RLV,10,1
