domain,event_id,candidate_id,stage_t,context_label,g_S,g_A,g_D,g_E,q_S,q_A,q_D,q_E,A_g,n_candidates_in_family
RLV,0,0,0,dense_day,0.023053375337861483,0.6311577138994361,0.9975037044506874,0.030279040649014596,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,0,1,dense_day,0.0,0.8023135013138003,0.975869576961055,0.0,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,False,6
RLV,0,0,2,dense_day,0.09021039087949435,0.7489764367129008,0.9264573545760298,0.11183476968703152,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,1,0,dense_day,0.09253855552970557,0.6943175788775956,0.9796792491807692,0.013910022372700757,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,1,1,dense_day,0.0,0.780554698038165,1.0,0.0,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,False,6
RLV,0,1,2,dense_day,0.06971342796757382,0.6767600775676835,0.9553248970886375,0.12571667519054458,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,2,0,dense_day,0.09815521879457118,0.5539597134696378,1.0,0.04535644928331403,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,2,1,dense_day,0.128771622336633,0.6759597423823844,1.0,0.14040434811337932,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,2,2,dense_day,0.19797845655417654,0.6503148344126485,0.9545141054852188,0.13158249924542753,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,3,0,dense_day,0.055013944561446364,0.5637165661194328,0.9680561075878329,0.025765046264943435,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
RLV,0,3,1,dense_day,0.2643057281342618,0.4425002099223787,1.0,0.0,0.9419657763115133,0.8152621506007641,0.976934011926066,0.9862634098914713,True,6
