domain,event_id,context_label,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7
RLV,0,dense_day,0.1937384591765218,0.5653408483800743,0.8120508889187701,0.2979838610994853,0.24763472869117037,0.6555277569835395,0.9433350322514737,0.3079236837073459
RLV,1,sparse_day,0.3975198679250364,0.4263465033092295,0.04127604651747174,0.1303303806878222,0.6479729072068123,0.4913425133567927,0.15462049351527324,0.4059073957343279
RLV,2,dense_day,0.40352866417784966,0.49540198235910643,0.7029273083479302,0.14664749108164568,0.3707105501266543,0.7394909507692522,0.8691989936288126,0.28576340086681407
RLV,3,sparse_night,0.7714191507230402,0.2680335011989254,0.1778603867551507,0.7333607337417181,0.8565846227054167,0.42152589813837943,0.1686515193202159,0.8422107690079045
RLV,4,dense_night,0.5771138857664211,0.394202793524079,0.8515900783012085,0.6314867606173846,0.49765164279594526,0.4782165867186846,0.7779453624164602,0.7281281071238435
RLV,5,sparse_night,0.7658139120340911,0.3237348098330222,0.28070609960529513,0.959322335872123,0.7917034478328633,0.46243030674832764,0.1610551990120931,0.6995122131407046
RLV,6,sparse_day,0.4196995852750923,0.24425653945900183,0.13478053904808385,0.5404498014696884,0.6521861125756376,0.5328513256740612,0.25580962514003674,0.06268499764066687
RLV,7,dense_night,0.6185558620975731,0.15178890221848793,0.5962716951785001,0.6491672072246993,0.3375293904573507,0.44751215453043736,0.7789991663785005,0.4870045528429446
RLV,8,sparse_day,0.29223067898153193,0.6941812843929762,0.23268437063290878,0.16433502111562193,0.441980374673011,0.7002969475577204,0.24192207470725158,0.5359122739220887
RLV,9,sparse_night,0.8767551691397483,0.35310547490448635,0.2999598320452532,0.8762445371433534,0.8888017083565203,0.3764287540046652,0.1908949689602527,0.585966664434298
RLV,10,dense_night,0.29267847447069656,0.31084855939723516,0.9212982340421405,0.9204864010585023,0.3596872929951823,0.5786072256877364,0.754269177238155,0.9104429232041297
RLV,11,sparse_day,0.5800610589660321,0.8258609856244858,0.1796336244295546,0.29965507806282565,0.5721276804090918,0.60908559455482,0.2007220016523286,0.3037988879167791
